"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
134,10,1.98943678864869,21.064622,18.747717,5,22.376319,22.260406,21.088324,20.850156,21.213168,NA,NA,NA,NA,NA,NA,19.365517,20,20,19.08284,18.236316,NA,NA,NA,NA,NA,NA
135,10,1.98943678864869,12.549354,17.009655,5,13.291671,11.110424,12.213498,13.518517,13.544987,NA,NA,NA,NA,NA,NA,18.873175,17.67868,16.717253,16.841682,16.866525,NA,NA,NA,NA,NA,NA
136,10,1.98943678864869,22.911451,11.596418,6,23.598485,23.335855,22.341176,22.022689,23.663789,23.674446,NA,NA,NA,NA,NA,11.867487,12.157027,11.582459,10.916941,11.302829,11.319634,NA,NA,NA,NA,NA
137,10,1.98943678864869,12.591677,16.428078,4,13.243023,12.266056,12.321538,13.027433,NA,NA,NA,NA,NA,NA,NA,16.392765,16.495404,16.081981,15.998046,NA,NA,NA,NA,NA,NA,NA
138,10,1.98943678864869,15.095737,2.274372,5,15.484206,14.328946,14.11686,16.3104,16.3306,NA,NA,NA,NA,NA,NA,2.411526,2.454932,1.63,1.040445,1.126529,NA,NA,NA,NA,NA,NA
139,10,1.98943678864869,23.832518,15.290155,7,24.106908,22.977501,22.974574,22.86925,22.922973,23.620691,24.238941,NA,NA,NA,NA,15.844094,16.526577,16.521834,15.603941,15.406509,14.637065,15.472381,NA,NA,NA,NA
140,10,1.98943678864869,20.147233,12.472269,7,21.333024,21.113262,20.020906,19.243629,19.425192,19.495668,20.954555,NA,NA,NA,NA,13.362415,13.50989,13.556676,12.720256,11.368243,11.293269,11.762534,NA,NA,NA,NA
141,10,1.98943678864869,17.244491,2.968932,7,18.432513,18.415222,17.154097,16.4173,16.405538,16.680501,18.055794,NA,NA,NA,NA,3.406966,3.448578,4.073108,3.441588,3.414449,1.815469,2.524126,NA,NA,NA,NA
142,10,1.98943678864869,17.947145,1.605289,7,18.055794,16.680501,16.3306,16.3104,16.6325,19.247761,19.431503,NA,NA,NA,NA,2.524126,1.815469,1.126529,1.040445,0,0,0.396521,NA,NA,NA,NA
143,10,1.98943678864869,12.967888,9.281391,9,14.156316,14.409972,14.472393,12.417615,11.315557,11.637255,12.639963,12.925321,13.626708,NA,NA,9.431109,10.12454,10.874658,10.063116,9.147801,8.593836,7.815052,7.946763,8.77764,NA,NA
144,10,1.98943678864869,24.669249,15.587363,5,24.729993,24.106908,24.238941,24.634166,24.867736,NA,NA,NA,NA,NA,NA,16.008283,15.844094,15.472381,15.127589,15.523493,NA,NA,NA,NA,NA,NA
145,10,1.98943678864869,17.896891,14.670559,6,18.680308,18.27832,17.197487,17.475541,17.848876,18.775236,NA,NA,NA,NA,NA,15.0528,15.393972,14.897704,13.690078,13.590261,14.487107,NA,NA,NA,NA,NA
146,10,1.98943678864869,24.469707,16.344609,9,24.713498,23.610424,23.35434,23.059734,22.977501,24.106908,24.729993,24.821538,24.766056,NA,NA,16.717253,17.67868,17.621594,17.15281,16.526577,15.844094,16.008283,16.081981,16.495404,NA,NA
