"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
136,1,0.795774715459477,8.214918,11.473847,5,8.118581,7.913237,7.967342,8.370854,8.864051,NA,NA,NA,NA,NA,NA,12.059713,11.975795,10.672297,10.613937,11.173336,NA,NA,NA,NA,NA,NA
137,1,0.795774715459477,9.243525,10.56697,7,9.854306,9.056846,8.864051,8.370854,8.561057,9.386639,9.866231,NA,NA,NA,NA,10.654761,11.257186,11.173336,10.613937,10.285698,9.964234,10.567543,NA,NA,NA,NA
138,1,0.795774715459477,5.466235,10.734151,6,6.124899,5.370613,4.854306,4.866231,5.625672,5.929802,NA,NA,NA,NA,NA,10.796817,11.328547,10.654761,10.567543,10.115734,10.25275,NA,NA,NA,NA,NA
139,1,0.795774715459477,7.965301,19.49298,5,8.436374,7.023472,7.273932,8.139038,8.544454,NA,NA,NA,NA,NA,NA,20,20,19.08161,18.970653,19.091204,NA,NA,NA,NA,NA,NA
140,1,0.795774715459477,7.977666,9.833448,8,8.561057,8.370854,7.967342,7.948117,7.356018,7.479888,7.848773,8.357711,NA,NA,NA,10.285698,10.613937,10.672297,10.668452,9.905262,9.477,9.296944,9.444044,NA,NA,NA
141,1,0.795774715459477,9.314764,14.171323,7,9.84983,9.670356,9.355083,8.719545,8.622762,9.374048,9.955589,NA,NA,NA,NA,14.68155,15.006607,14.95455,14.589164,14.271987,13.73963,13.934644,NA,NA,NA,NA
142,1,0.795774715459477,8.386937,12.594222,5,8.916877,8.116726,8.023328,8.122431,8.82257,NA,NA,NA,NA,NA,NA,12.99109,13.41464,13.301935,12.064814,12.34524,NA,NA,NA,NA,NA,NA
143,1,0.795774715459477,8.43803,4.089423,6,8.634836,8.354155,7.852121,8.770747,9.129367,9.184024,NA,NA,NA,NA,NA,4.790825,4.756313,3.825388,3.364889,3.577224,4.054162,NA,NA,NA,NA,NA
144,1,0.795774715459477,7.750844,4.460012,6,8.354155,7.680562,7.123501,7.114292,7.631643,7.852121,NA,NA,NA,NA,NA,4.756313,5.121986,4.611202,4.276644,3.783409,3.825388,NA,NA,NA,NA,NA
145,1,0.795774715459477,7.992447,14.574812,6,8.719545,8.238437,7.367892,7.322947,8.093817,8.622762,NA,NA,NA,NA,NA,14.589164,15.022426,14.473731,14.263471,13.724506,14.271987,NA,NA,NA,NA,NA
