"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y","iteration"
183,1,0.795774715459477,6.999972,17.729019,6,7.657094,7.173374,6.971963,6.62554,7.127245,7.5938,NA,NA,NA,NA,NA,17.9926,18.6691,18.547757,17.481703,17.27485,17.311911,NA,NA,NA,NA,NA,1
184,1,0.795774715459477,6.626761,10.06679,5,6.792675,6.252581,6.464212,6.567821,6.939329,NA,NA,NA,NA,NA,NA,10.353915,10.3224,9.549131,9.507573,9.62171,NA,NA,NA,NA,NA,NA,1
185,1,0.795774715459477,8.865081,17.543401,6,8.951585,8.644842,8.622655,8.558197,8.832336,9.407199,NA,NA,NA,NA,NA,18.070899,18.151925,18.135134,17.564432,17.073362,17.328081,NA,NA,NA,NA,NA,1
186,1,0.795774715459477,5.913453,3.756633,6,5.823168,5.530769,5.406258,5.710153,6.501075,6.789694,NA,NA,NA,NA,NA,5.132682,4.929261,4.580527,3.672758,2.887631,3.171788,NA,NA,NA,NA,NA,1
187,1,0.795774715459477,8.629749,15.214447,5,9.859591,8.79793,8.044728,8.223464,9.457694,NA,NA,NA,NA,NA,NA,15.653391,16.041347,15.047815,14.768682,14.680335,NA,NA,NA,NA,NA,NA,1
188,1,0.795774715459477,5.60846,14.489978,4,5.873523,5.464541,5.584688,5.623351,NA,NA,NA,NA,NA,NA,NA,14.322386,15.091507,13.636401,13.644034,NA,NA,NA,NA,NA,NA,NA,1
189,1,0.795774715459477,6.261246,18.955183,6,7.372887,7.313249,5.297071,5.666379,6.971963,7.173374,NA,NA,NA,NA,NA,19.53915,19.71476,18.89381,18.29146,18.547757,18.6691,NA,NA,NA,NA,NA,1
190,1,0.795774715459477,5.716522,10.952932,5,6.347342,5.992672,5.08065,5.044408,6.069588,NA,NA,NA,NA,NA,NA,11.291939,11.655432,11.291805,10.975789,10.559928,NA,NA,NA,NA,NA,NA,1
191,1,0.795774715459477,6.183931,14.277748,7,6.475036,6.331519,5.873523,5.623351,5.858367,7.054557,7.028348,NA,NA,NA,NA,14.679113,14.707539,14.322386,13.644034,13.602242,13.775279,13.899732,NA,NA,NA,NA,1
192,1,0.795774715459477,5.294672,7.778102,8,5.517416,5.097147,5.079035,4.190725,4.249479,5.655719,5.933159,5.964719,NA,NA,NA,8.595382,8.899433,8.89991,7.959573,7.789805,6.53125,7.073921,7.569745,NA,NA,NA,1
193,1,0.795774715459477,8.349733,2.013367,4,8.360755,8.017052,7.824304,8.689501,NA,NA,NA,NA,NA,NA,NA,2.57961,2.735605,2.037839,1.392894,NA,NA,NA,NA,NA,NA,NA,1
194,1,0.795774715459477,9.381346,18.546042,6,10.281335,10.203444,9.508453,9.328866,9.220784,9.519654,NA,NA,NA,NA,NA,18.907002,19.038381,19.195704,19.20858,18.202426,18.239786,NA,NA,NA,NA,NA,1
195,1,0.795774715459477,8.925626,5.673745,5,9.235839,8.58294,8.512974,8.692224,9.26101,NA,NA,NA,NA,NA,NA,5.950053,6.164901,6.158548,5.228347,5.221391,NA,NA,NA,NA,NA,NA,1
196,1,0.795774715459477,9.041019,11.890085,6,9.653316,9.41673,8.678103,8.65137,9.379796,9.69013,NA,NA,NA,NA,NA,12.255231,12.321887,11.793812,11.533546,11.571029,11.706949,NA,NA,NA,NA,NA,1
197,1,0.795774715459477,7.360816,2.286542,11,8.017052,7.80775,7.601344,7.12116,6.789694,6.501075,6.142787,6.200896,7.150769,7.755241,7.824304,2.735605,3.176109,3.337321,3.257594,3.171788,2.887631,2.362448,1.73632,1.798976,1.978807,2.037839,1
198,1,0.795774715459477,7.07327,16.806283,6,7.71146,7.5938,7.127245,6.500231,7.337683,7.927706,NA,NA,NA,NA,NA,17.139517,17.311911,17.27485,16.328225,16.042757,16.542353,NA,NA,NA,NA,NA,1
199,1,0.795774715459477,9.150326,6.356582,4,9.753339,9.111063,8.58294,9.235839,NA,NA,NA,NA,NA,NA,NA,6.274329,6.64159,6.164901,5.950053,NA,NA,NA,NA,NA,NA,NA,1
200,1,0.795774715459477,8.047176,15.656099,7,8.79793,8.416938,7.927706,7.337683,7.354635,7.946934,8.044728,NA,NA,NA,NA,16.041347,16.43235,16.542353,16.042757,15.626425,15.084247,15.047815,NA,NA,NA,NA,1
101,2,1.39260575205408,11.133521,13.046687,5,11.980719,11.77072,10.600754,10.748638,11.111696,NA,NA,NA,NA,NA,NA,13.741235,13.86297,13.566794,12.982229,12.386026,NA,NA,NA,NA,NA,NA,1
102,2,1.39260575205408,12.036258,6.968698,6,12.55878,12.277287,10.413993,10.213767,10.591189,11.961139,NA,NA,NA,NA,NA,7.177044,7.564182,6.562242,5.876869,5.67856,6.257946,NA,NA,NA,NA,NA,1
103,2,1.39260575205408,13.698439,5.446722,5,14.000525,13.735905,13.278585,13.058682,14.183377,NA,NA,NA,NA,NA,NA,6.435122,6.601783,6.164067,5.465824,5.01122,NA,NA,NA,NA,NA,NA,1
